"full.name","PA","run","algo","metric.eval","cutoff","sensitivity","specificity","calibration","validation","evaluation"
"Apis.dorsata_PA1_RUN1_GLM","PA1","RUN1","GLM","TSS",555,74.088,65.775,0.401,0.389,NA
"Apis.dorsata_PA1_RUN1_GLM","PA1","RUN1","GLM","AUCroc",556.5,73.966,66.05,0.764,0.779,NA
"Apis.dorsata_PA1_RUN1_GAM","PA1","RUN1","GAM","TSS",505,82.847,68,0.507,0.466,NA
"Apis.dorsata_PA1_RUN1_GAM","PA1","RUN1","GAM","AUCroc",558.5,75.791,73.3,0.821,0.808,NA
"Apis.dorsata_PA1_RUN1_GBM","PA1","RUN1","GBM","TSS",516,82.847,62.4,0.453,0.45,NA
"Apis.dorsata_PA1_RUN1_GBM","PA1","RUN1","GBM","AUCroc",546.5,76.642,67.65,0.786,0.793,NA
"Apis.dorsata_PA1_RUN1_RF","PA1","RUN1","RF","TSS",328.5,100,100,1,0.398,NA
"Apis.dorsata_PA1_RUN1_RF","PA1","RUN1","RF","AUCroc",328,100,100,1,0.854,NA
"Apis.dorsata_PA1_RUN1_XGBOOST","PA1","RUN1","XGBOOST","TSS",524,93.431,65.325,0.586,0.513,NA
"Apis.dorsata_PA1_RUN1_XGBOOST","PA1","RUN1","XGBOOST","AUCroc",585,83.212,73.575,0.853,0.829,NA
"Apis.dorsata_PA1_RUN1_MAXNET","PA1","RUN1","MAXNET","TSS",434,77.859,70.55,0.483,0.45,NA
"Apis.dorsata_PA1_RUN1_MAXNET","PA1","RUN1","MAXNET","AUCroc",435.5,77.737,70.65,0.815,0.823,NA
"Apis.dorsata_PA1_RUN2_GLM","PA1","RUN2","GLM","TSS",461,87.105,54.925,0.42,0.34,NA
"Apis.dorsata_PA1_RUN2_GLM","PA1","RUN2","GLM","AUCroc",564.5,71.411,68.725,0.774,0.739,NA
"Apis.dorsata_PA1_RUN2_GAM","PA1","RUN2","GAM","TSS",504,82.482,67.75,0.502,0.43,NA
"Apis.dorsata_PA1_RUN2_GAM","PA1","RUN2","GAM","AUCroc",535.5,78.345,71.175,0.823,0.795,NA
"Apis.dorsata_PA1_RUN2_GBM","PA1","RUN2","GBM","TSS",538,79.805,67.4,0.474,0.378,NA
"Apis.dorsata_PA1_RUN2_GBM","PA1","RUN2","GBM","AUCroc",547.5,77.372,69.525,0.796,0.749,NA
"Apis.dorsata_PA1_RUN2_RF","PA1","RUN2","RF","TSS",358.5,100,100,1,0.361,NA
"Apis.dorsata_PA1_RUN2_RF","PA1","RUN2","RF","AUCroc",359,100,100,1,0.854,NA
"Apis.dorsata_PA1_RUN2_XGBOOST","PA1","RUN2","XGBOOST","TSS",553,87.348,71.675,0.59,0.472,NA
"Apis.dorsata_PA1_RUN2_XGBOOST","PA1","RUN2","XGBOOST","AUCroc",575.5,86.496,72.225,0.865,0.799,NA
"Apis.dorsata_PA1_RUN2_MAXNET","PA1","RUN2","MAXNET","TSS",394,84.55,65.9,0.507,0.408,NA
"Apis.dorsata_PA1_RUN2_MAXNET","PA1","RUN2","MAXNET","AUCroc",433.5,77.007,72.625,0.825,0.781,NA
"Apis.dorsata_PA1_RUN3_GLM","PA1","RUN3","GLM","TSS",533,77.616,63.55,0.414,0.393,NA
"Apis.dorsata_PA1_RUN3_GLM","PA1","RUN3","GLM","AUCroc",532.5,77.981,63.45,0.769,0.76,NA
"Apis.dorsata_PA1_RUN3_GAM","PA1","RUN3","GAM","TSS",493,82.968,66.325,0.494,0.483,NA
"Apis.dorsata_PA1_RUN3_GAM","PA1","RUN3","GAM","AUCroc",525.5,79.44,69.725,0.821,0.807,NA
"Apis.dorsata_PA1_RUN3_GBM","PA1","RUN3","GBM","TSS",526,82.238,63.825,0.465,0.394,NA
"Apis.dorsata_PA1_RUN3_GBM","PA1","RUN3","GBM","AUCroc",546.5,76.764,67.775,0.791,0.772,NA
"Apis.dorsata_PA1_RUN3_RF","PA1","RUN3","RF","TSS",353,100,100,1,0.378,NA
"Apis.dorsata_PA1_RUN3_RF","PA1","RUN3","RF","AUCroc",356,100,100,1,0.841,NA
"Apis.dorsata_PA1_RUN3_XGBOOST","PA1","RUN3","XGBOOST","TSS",543,90.024,69.5,0.595,0.462,NA
"Apis.dorsata_PA1_RUN3_XGBOOST","PA1","RUN3","XGBOOST","AUCroc",595.5,79.197,77.5,0.859,0.794,NA
"Apis.dorsata_PA1_RUN3_MAXNET","PA1","RUN3","MAXNET","TSS",401,82.603,65.575,0.481,0.458,NA
"Apis.dorsata_PA1_RUN3_MAXNET","PA1","RUN3","MAXNET","AUCroc",433.5,75.669,71.375,0.818,0.797,NA
"Apis.dorsata_PA2_RUN1_GLM","PA2","RUN1","GLM","TSS",481,86.375,57.725,0.441,0.344,NA
"Apis.dorsata_PA2_RUN1_GLM","PA2","RUN1","GLM","AUCroc",562.5,75.304,67.05,0.787,0.722,NA
"Apis.dorsata_PA2_RUN1_GAM","PA2","RUN1","GAM","TSS",465,86.253,64.55,0.507,0.382,NA
"Apis.dorsata_PA2_RUN1_GAM","PA2","RUN1","GAM","AUCroc",564.5,76.764,73.825,0.833,0.777,NA
"Apis.dorsata_PA2_RUN1_GBM","PA2","RUN1","GBM","TSS",535,84.793,64.275,0.491,0.366,NA
"Apis.dorsata_PA2_RUN1_GBM","PA2","RUN1","GBM","AUCroc",586.5,73.358,74.425,0.811,0.739,NA
"Apis.dorsata_PA2_RUN1_RF","PA2","RUN1","RF","TSS",343,100,100,1,0.354,NA
"Apis.dorsata_PA2_RUN1_RF","PA2","RUN1","RF","AUCroc",343,100,100,1,0.829,NA
"Apis.dorsata_PA2_RUN1_XGBOOST","PA2","RUN1","XGBOOST","TSS",533,91.849,69.25,0.613,0.442,NA
"Apis.dorsata_PA2_RUN1_XGBOOST","PA2","RUN1","XGBOOST","AUCroc",590.5,87.591,73.125,0.869,0.786,NA
"Apis.dorsata_PA2_RUN1_MAXNET","PA2","RUN1","MAXNET","TSS",412,80.779,69.8,0.507,0.395,NA
"Apis.dorsata_PA2_RUN1_MAXNET","PA2","RUN1","MAXNET","AUCroc",436.5,76.399,74.225,0.831,0.779,NA
"Apis.dorsata_PA2_RUN2_GLM","PA2","RUN2","GLM","TSS",466,86.131,55.25,0.416,0.427,NA
"Apis.dorsata_PA2_RUN2_GLM","PA2","RUN2","GLM","AUCroc",557.5,74.696,65.625,0.776,0.765,NA
"Apis.dorsata_PA2_RUN2_GAM","PA2","RUN2","GAM","TSS",518,82.36,69.9,0.522,0.45,NA
"Apis.dorsata_PA2_RUN2_GAM","PA2","RUN2","GAM","AUCroc",522.5,82.117,70.325,0.828,0.796,NA
"Apis.dorsata_PA2_RUN2_GBM","PA2","RUN2","GBM","TSS",548,81.63,67.175,0.487,0.429,NA
"Apis.dorsata_PA2_RUN2_GBM","PA2","RUN2","GBM","AUCroc",548.5,81.63,67.175,0.804,0.776,NA
"Apis.dorsata_PA2_RUN2_RF","PA2","RUN2","RF","TSS",346,100,100,1,0.352,NA
"Apis.dorsata_PA2_RUN2_RF","PA2","RUN2","RF","AUCroc",346,100,100,1,0.828,NA
