"expl.var","Mean_all","SD_all","Mean_noRF","SD_noRF","rank_all","rank_noRF"
"BIO4",0.772885392592593,0.170827073563325,0.845581111111111,0.0562301213723182,1,1
"DistanceRiver",0.2141059,0.0889386171231489,0.222006284444444,0.0954655191463079,2,2
"TreeCover",0.0658460592592593,0.0292776110234102,0.0620730888888889,0.0306176125867109,4,3
"BIO18",0.0635403296296296,0.052465009358501,0.0569176888888889,0.055109421009812,5,4
"BIO13",0.0609703925925926,0.0313054693282207,0.0521340577777778,0.0264913723999917,6,5
"BIO5",0.0536766296296296,0.0327858598011888,0.0474396755555556,0.0323788705753925,7,6
"BIO19",0.0703054,0.0595620624200328,0.0455468888888889,0.0232247381480531,3,7
"Slope",0.0419683888888889,0.0190617044793642,0.0377821111111111,0.0181251674482687,9,8
"BIO14",0.0451286962962963,0.0517599797382323,0.0242577555555556,0.0238270636043753,8,9
"Aspect",0.0151836,0.0126693139632883,0.0100940266666667,0.00589329277950791,11,10
"BIO2",0.0219879703703704,0.0280258253080951,0.0100932311111111,0.00912939752353778,10,11
"ForestLoss",0.0125169222222222,0.0171505448185722,0.00519227555555556,0.00532699922016019,12,12
