"expl.var","Mean","SD"
"BIO4",0.845581111111111,0.0562301213723182
"DistanceRiver",0.222006284444444,0.0954655191463079
"TreeCover",0.0620730888888889,0.0306176125867109
"BIO18",0.0569176888888889,0.055109421009812
"BIO13",0.0521340577777778,0.0264913723999917
"BIO5",0.0474396755555556,0.0323788705753925
"BIO19",0.0455468888888889,0.0232247381480531
"Slope",0.0377821111111111,0.0181251674482687
"BIO14",0.0242577555555556,0.0238270636043753
"Aspect",0.0100940266666667,0.00589329277950791
"BIO2",0.0100932311111111,0.00912939752353778
"ForestLoss",0.00519227555555556,0.00532699922016019
